year,title,hours,minutes,seconds,total_seconds,time_stamp
2016,Dark Souls 3,01,23,17,4997,01:23:17
2016,Ratchet & Clank,01,28,13,5293,01:28:13
2016,Starfox Zero,01,33,03,5583,01:33:03
2016,Paper Mario The Thousand Year Door,01,37,53,5873,01:37:53
2016,Uncharted 4,01,42,33,6153,01:42:33
2016,Doom,01,47,23,6443,01:47:23
2016,Homefront: The Revolution,01,52,22,6742,01:52:22
2016,Battleborn & Overwatch,01,57,32,7052,01:57:32
2016,Mirror's Edge Catalyst,02,02,50,7370,02:02:50
2016,E3 2016,02,07,46,7666,02:07:46
2016,Mighty N°9,02,13,07,7987,02:13:07
2016,Inside,02,18,19,8299,02:18:19
2016,Shadow of the Beast,02,21,13,8473,02:21:13
2016,Technomancer,02,23,25,8605,02:23:25
2016,Furi,02,28,34,8914,02:28:34
2016,Song of the Deep,02,31,10,9070,02:31:10
2016,I am Setsuna,02,33,40,9220,02:33:40
2016,Head Lander,02,38,40,9520,02:38:40
2016,Quadrilateral Cowboy,02,41,06,9666,02:41:06
2016,Quake 1,02,43,27,9807,02:43:27
2016,No Man's Sky,02,48,42,10122,02:48:42
2016,Grow Up,02,54,00,10440,02:54:00
2016,Deus Ex Mankind Divided,02,58,49,10729,02:58:49
2016,Metroid Federation Force,03,03,54,11034,03:03:54
2016,Curious Expedition,03,08,33,11313,03:08:33
2016,Mother Russia bleeds,03,11,40,11500,03:11:40
2016,Recore,03,13,37,11617,03:13:37
2016,Capcom Five (let's all laugh of an industry that never learn anything tee hee hee),03,18,36,11916,03:18:36
2016,Clustertruck,03,23,47,12227,03:23:47
2016,Lichtspeer,03,26,40,12400,03:26:40
2016,Paper Mario Color Splash,03,28,36,12516,03:28:36
2016,Gears of War 4,03,33,44,12824,03:33:44
2016,PlayStation VR,03,38,35,13115,03:38:35
2016,Battlefield 1,03,43,43,13423,03:43:43
2016,CoD: Infinite Warfare vs Titanfall 2,03,48,44,13724,03:48:44
2016,Dishonored 2,03,53,49,14029,03:53:49
2016,Watch_Dogs_2,03,58,36,14316,03:58:36
2016,Final Fantasy XV,04,03,33,14613,04:03:33
2016,The Last Guardian,04,08,30,14910,04:08:30
2017,"Yahtzee's Top 5 Best, Worst and Blandest Games from 2016",00,00,05,5,00:00:05
2017,Let It Die,00,06,02,362,00:06:02
2017,Dead Rising 4,00,10,42,642,00:10:42
2017,Hitman,00,15,20,920,00:15:20
2017,Gravity Rush 2,00,20,05,1205,00:20:05
2017,Resident Evil 7,00,24,43,1483,00:24:43
2017,Yakusa 0,00,29,35,1775,00:29:35
2017,Nioh,00,34,24,2064,00:34:24
2017,For Honor,00,39,27,2367,00:39:27
2017,Zelda: Breath of the Wild,00,44,28,2668,00:44:28
2017,Horizon Zero Dawn,00,49,41,2981,00:49:41
2017,Nier Automata,00,54,25,3265,00:54:25
2017,Ghost Recon Wildlands,00,59,26,3566,00:59:26
2017,Mass Effect Andromeda,01,04,12,3852,01:04:12
2017,Yooka-Laylee,01,09,02,4142,01:09:02
2017,Persona 5,01,13,52,4432,01:13:52
